"","Var1","Freq","select_voz","nome_consel"
"4","alcides souza 1",3,1,"alcides souza 1"
"6","aline santos 1",1,1,"aline santos 1"
"14","beatrice padovani 1",6,1,"beatrice padovani 1"
"17","camila keiko 1",2,1,"camila keiko 1"
"27","claudio fabi 1",13,1,"claudio fabi 1"
"30","clerton pontes 1",3,1,"clerton pontes 1"
"41","eduardo almeida machado 1",38,1,"eduardo almeida machado 1"
"42","eduardo barreto 1",5,1,"eduardo barreto 1"
"49","gilvan 1",1,1,"gilvan 1"
"54","isaias 1",1,1,"isaias 1"
"62","joao lessa 1",3,1,"joao lessa 1"
"66","jovina flores 1",1,1,"jovina flores 1"
"74","luiz pedro da silva 1",1,1,"luiz pedro da silva 1"
"81","marius belluci 1",1,1,"marius belluci 1"
"86","nazir 1",1,1,"nazir 1"
"92","pedro lins 1",1,1,"pedro lins 1"
"97","roseane claudine 1",1,1,"roseane claudine 1"
